date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2026-01-26,laranja,laranja-industria,Laranja Indústria,,,r_a_prazocaixa_408_kg_prazo,37.26,"37,26",R$,price,BRL,,spot,,,physical
2026-01-26,laranja,laranja-industria,Laranja Indústria,,,variacao_pct,0.0,"0,00%",%,change_pct,,pct,spot,,,physical
2026-01-26,laranja,laranja-pera-in-natura,Laranja Pera In Natura,,,caixa_40_8_kg,42.29,"42,29",R$,price,BRL,,spot,,,other
2026-01-26,laranja,laranja-pera-in-natura,Laranja Pera In Natura,,,variacao_pct,-0.75,"-0,75%",%,change_pct,,pct,spot,,,other
2026-01-26,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Julho/26,fechamento,215.45,"215,45",c/US$/libra peso,price,USD,lb,futures,2026-07,,nybot
2026-01-26,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Julho/26,variacao_pontos,6.2,"+6,20",%,change_abs,,pct,futures,2026-07,,nybot
2026-01-26,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Maio/26,fechamento,215.25,"215,25",c/US$/libra peso,price,USD,lb,futures,2026-05,,nybot
2026-01-26,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Maio/26,variacao_pontos,5.15,"+5,15",%,change_abs,,pct,futures,2026-05,,nybot
2026-01-26,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Março/26,fechamento,219.3,"219,30",c/US$/libra peso,price,USD,lb,futures,2026-03,,nybot
2026-01-26,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Março/26,variacao_pontos,-0.1,"-0,10",%,change_abs,,pct,futures,2026-03,,nybot
2026-01-27,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera (13 a 15 DZ),,preco,2.22,"2,22",R$/Kg,price,BRL,kg,spot,,,physical
2026-01-27,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera (13 a 15 DZ),,variacao_pct,-2.2,"-2,20",%,change_pct,,pct,spot,,,physical
2026-01-27,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera Extra,,preco,2.5,"2,50",R$/Kg,price,BRL,kg,spot,,,physical
2026-01-27,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera Extra,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera Gde (11-12 DZ),,preco,2.5,"2,50",R$/Kg,price,BRL,kg,spot,,,physical
2026-01-27,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera Gde (11-12 DZ),,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,laranja,laranja-industria,Laranja Indústria,,,r_a_prazocaixa_408_kg_prazo,37.26,"37,26",R$,price,BRL,,spot,,,physical
2026-01-27,laranja,laranja-industria,Laranja Indústria,,,variacao_pct,0.0,"0,00%",%,change_pct,,pct,spot,,,physical
2026-01-27,laranja,laranja-pera-in-natura,Laranja Pera In Natura,,,caixa_40_8_kg,42.22,"42,22",R$,price,BRL,,spot,,,other
2026-01-27,laranja,laranja-pera-in-natura,Laranja Pera In Natura,,,variacao_pct,-0.17,"-0,17%",%,change_pct,,pct,spot,,,other
2026-01-27,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Julho/26,fechamento,219.85,"219,85",c/US$/libra peso,price,USD,lb,futures,2026-07,,nybot
2026-01-27,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Julho/26,variacao_pontos,4.4,"+4,40",%,change_abs,,pct,futures,2026-07,,nybot
2026-01-27,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Maio/26,fechamento,219.6,"219,60",c/US$/libra peso,price,USD,lb,futures,2026-05,,nybot
2026-01-27,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Maio/26,variacao_pontos,4.35,"+4,35",%,change_abs,,pct,futures,2026-05,,nybot
2026-01-27,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Março/26,fechamento,220.05,"220,05",c/US$/libra peso,price,USD,lb,futures,2026-03,,nybot
2026-01-27,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Março/26,variacao_pontos,0.75,"+0,75",%,change_abs,,pct,futures,2026-03,,nybot
2026-01-28,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera (13 a 15 DZ),,preco,2.22,"2,22",R$/Kg,price,BRL,kg,spot,,,physical
2026-01-28,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera (13 a 15 DZ),,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera Extra,,preco,2.5,"2,50",R$/Kg,price,BRL,kg,spot,,,physical
2026-01-28,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera Extra,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera Gde (11-12 DZ),,preco,2.5,"2,50",R$/Kg,price,BRL,kg,spot,,,physical
2026-01-28,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera Gde (11-12 DZ),,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,laranja,laranja-industria,Laranja Indústria,,,r_a_prazocaixa_408_kg_prazo,37.63,"37,63",R$,price,BRL,,spot,,,physical
2026-01-28,laranja,laranja-industria,Laranja Indústria,,,variacao_pct,0.99,"0,99%",%,change_pct,,pct,spot,,,physical
2026-01-28,laranja,laranja-pera-in-natura,Laranja Pera In Natura,,,caixa_40_8_kg,41.47,"41,47",R$,price,BRL,,spot,,,other
2026-01-28,laranja,laranja-pera-in-natura,Laranja Pera In Natura,,,variacao_pct,-1.78,"-1,78%",%,change_pct,,pct,spot,,,other
2026-01-28,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Julho/26,fechamento,224.75,"224,75",c/US$/libra peso,price,USD,lb,futures,2026-07,,nybot
2026-01-28,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Julho/26,variacao_pontos,4.9,"+4,90",%,change_abs,,pct,futures,2026-07,,nybot
2026-01-28,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Maio/26,fechamento,225.5,"225,50",c/US$/libra peso,price,USD,lb,futures,2026-05,,nybot
2026-01-28,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Maio/26,variacao_pontos,5.9,"+5,90",%,change_abs,,pct,futures,2026-05,,nybot
2026-01-28,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Março/26,fechamento,226.6,"226,60",c/US$/libra peso,price,USD,lb,futures,2026-03,,nybot
2026-01-28,laranja,suco-de-laranja-bolsa-de-nova-iorque-nybot,Suco de Laranja - Bolsa de Nova Iorque (NYBOT),,Março/26,variacao_pontos,6.55,"+6,55",%,change_abs,,pct,futures,2026-03,,nybot
2026-01-29,laranja,laranja-ceasas,Laranja - Ceasas,Laranja Pera (13 a 15 DZ),,preco,2.25,"2,25",R$/Kg,price,BRL,kg,spot,,,physical
